scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-09-24T05:15:29+00:00,2026-09-24T11:00:29+05:45,2026-09-24,11:00:29,1790226929,3,5,11,OPEN,,,,,,,,,,
2026-09-24T05:45:27+00:00,2026-09-24T11:30:27+05:45,2026-09-24,11:30:27,1790228727,3,5,11,OPEN,,,,,,,,,,
2026-09-24T06:15:36+00:00,2026-09-24T12:00:36+05:45,2026-09-24,12:00:36,1790230536,3,6,12,OPEN,,,,,,,,,,
2026-09-24T06:45:31+00:00,2026-09-24T12:30:31+05:45,2026-09-24,12:30:31,1790232331,3,6,12,OPEN,,,,,,,,,,
2026-09-24T07:15:30+00:00,2026-09-24T13:00:30+05:45,2026-09-24,13:00:30,1790234130,3,7,13,OPEN,,,,,,,,,,
2026-09-24T07:45:30+00:00,2026-09-24T13:30:30+05:45,2026-09-24,13:30:30,1790235930,3,7,13,OPEN,,,,,,,,,,
2026-09-24T08:15:29+00:00,2026-09-24T14:00:29+05:45,2026-09-24,14:00:29,1790237729,3,8,14,OPEN,,,,,,,,,,
2026-09-24T08:45:28+00:00,2026-09-24T14:30:28+05:45,2026-09-24,14:30:28,1790239528,3,8,14,OPEN,,,,,,,,,,
2026-09-24T09:15:31+00:00,2026-09-24T15:00:31+05:45,2026-09-24,15:00:31,1790241331,3,9,15,CLOSE,,,,,,,,,,
2026-09-25T05:15:26+00:00,2026-09-25T11:00:26+05:45,2026-09-25,11:00:26,1790313326,4,5,11,CLOSE,,,,,,,,,,
2026-09-25T05:45:28+00:00,2026-09-25T11:30:28+05:45,2026-09-25,11:30:28,1790315128,4,5,11,CLOSE,,,,,,,,,,
2026-09-25T06:15:28+00:00,2026-09-25T12:00:28+05:45,2026-09-25,12:00:28,1790316928,4,6,12,CLOSE,,,,,,,,,,
2026-09-25T06:45:32+00:00,2026-09-25T12:30:32+05:45,2026-09-25,12:30:32,1790318732,4,6,12,CLOSE,,,,,,,,,,
2026-09-25T07:15:28+00:00,2026-09-25T13:00:28+05:45,2026-09-25,13:00:28,1790320528,4,7,13,CLOSE,,,,,,,,,,
