scraped_at_utc,is_market_open,business_date,symbol,security_name,open_price,high_price,low_price,close_price,last_traded_price,previous_closing_price,point_change,percentage_change,total_traded_quantity,total_traded_value,total_trades
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1040.0,1043.0,1025.0,1040.0,,,,,2970,3086650.5,58
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ADBL,Agricultural Development Bank Limited,330.0,334.0,321.5,333.1,,,,,85296,28064017.3,380
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,AHL,Asian Hydropower Limited,522.0,525.9,512.0,521.0,,,,,12223,6352704.0,109
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,AHPC,Arun Valley Hydropower Development Co. Ltd.,316.2,316.2,307.0,314.0,,,,,389922,121160008.3,813
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,395.0,415.0,395.0,415.0,,,,,808865,331200248.6,1104
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,AKPL,Arun Kabeli Power Ltd.,296.0,305.0,296.0,304.9,,,,,400064,120446342.4,1144
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1261.0,1300.0,1240.0,1293.9,,,,,22614,28821586.6,281
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ALICL,Asian Life Insurance Co. Limited,484.0,490.0,479.0,488.0,,,,,48491,23554296.6,253
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,6400.0,6649.0,6400.0,6647.0,,,,,4414,28343771.2,62
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,API,Api Power Company Ltd.,359.0,365.9,354.0,364.2,,,,,886488,319204512.3,2223
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1235.0,1310.0,1201.0,1279.0,,,,,42163,52401556.2,484
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,BANDIPUR,Bandipur Cablecar and Tourism Limited,970.0,999.9,969.0,985.0,,,,,95093,93907925.2,1462
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,BARUN,Barun Hydropower Co. Ltd.,380.0,382.9,375.6,381.2,,,,,118257,44835893.7,580
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,BBC,Bishal Bazar Company Limited,5391.0,5495.0,5202.0,5332.0,,,,,1209,6454038.9,73
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,BEDC,Bhugol Energy Development Company Limited,529.0,534.0,525.2,531.0,,,,,6859,3623726.0,84
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,BFC,Best Finance Company Ltd.,505.1,509.0,501.0,506.5,,,,,28443,14366409.1,176
